last_name, first_name,player_id,name_abbrev,team_id,position_name,age,bat_side,seconds_since_hit_000,seconds_since_hit_005,seconds_since_hit_010,seconds_since_hit_015,seconds_since_hit_020,seconds_since_hit_025,seconds_since_hit_030,seconds_since_hit_035,seconds_since_hit_040,seconds_since_hit_045,seconds_since_hit_050,seconds_since_hit_055,seconds_since_hit_060,seconds_since_hit_065,seconds_since_hit_070,seconds_since_hit_075,seconds_since_hit_080,seconds_since_hit_085,seconds_since_hit_090
Cowart, Kaleb,592230,LAA,108,2B,25,L,0.00,0.52,0.81,1.06,1.31,1.53,1.74,1.94,2.14,2.32,2.51,2.69,2.88,3.06,3.23,3.41,3.60,3.79,3.98
Cozart, Zack,446359,CIN,113,SS,31,R,0.00,0.55,0.85,1.12,1.37,1.60,1.82,2.03,2.23,2.43,2.62,2.81,3.00,3.18,3.37,3.55,3.74,3.93,4.13
Crawford, Brandon,543063,SF,137,SS,30,L,0.00,0.55,0.85,1.11,1.36,1.59,1.81,2.02,2.22,2.42,2.61,2.81,2.99,3.18,3.37,3.56,3.74,3.94,4.15
Crawford, J.P.,641487,PHI,143,3B,22,L,0.00,0.55,0.85,1.11,1.35,1.58,1.79,1.99,2.19,2.38,2.56,2.74,2.92,3.10,3.28,3.45,3.62,3.80,3.99
Cron, C.J.,543068,LAA,108,1B,27,R,0.00,0.55,0.86,1.13,1.39,1.62,1.85,2.06,2.27,2.47,2.66,2.85,3.05,3.23,3.42,3.60,3.79,3.98,4.17
Cruz, Nelson,443558,SEA,136,DH,36,R,0.00,0.55,0.86,1.14,1.40,1.64,1.87,2.09,2.30,2.50,2.70,2.90,3.09,3.28,3.47,3.66,3.85,4.05,4.25
Cuthbert, Cheslor,596144,KC,118,3B,24,R,0.00,0.54,0.85,1.12,1.37,1.61,1.83,2.05,2.25,2.45,2.65,2.84,3.03,3.22,3.41,3.60,3.79,3.99,4.20
Córdoba, Allen,642707,SD,135,LF,21,R,0.00,0.55,0.84,1.09,1.33,1.55,1.76,1.95,2.14,2.33,2.51,2.68,2.86,3.03,3.20,3.36,3.53,3.69,3.86
Davidson, Matt,571602,CWS,145,DH,26,R,0.00,0.55,0.87,1.14,1.40,1.64,1.86,2.08,2.29,2.49,2.69,2.89,3.09,3.28,3.47,3.67,3.86,4.05,4.26
Davis, Chris,448801,BAL,110,1B,31,L,0.00,0.53,0.84,1.12,1.37,1.61,1.84,2.05,2.26,2.46,2.66,2.86,3.05,3.25,3.44,3.63,3.82,4.02,4.22
Davis, J.D.,605204,HOU,117,3B,24,R,0.00,0.53,0.82,1.09,1.34,1.57,1.79,1.99,2.20,2.39,2.58,2.77,2.95,3.14,3.32,3.50,3.68,3.86,4.05
Davis, Khris,501981,OAK,133,LF,29,R,0.00,0.55,0.85,1.12,1.37,1.60,1.82,2.03,2.23,2.42,2.61,2.80,2.99,3.17,3.35,3.54,3.72,3.91,4.11
Davis, Rajai,434658,BOS,111,CF,36,R,0.00,0.54,0.82,1.07,1.30,1.52,1.73,1.92,2.11,2.29,2.47,2.64,2.81,2.98,3.15,3.31,3.47,3.64,3.80
DeJong, Paul,657557,STL,138,SS,23,R,0.00,0.53,0.83,1.08,1.32,1.54,1.74,1.94,2.13,2.31,2.50,2.67,2.85,3.02,3.19,3.36,3.53,3.71,3.88
DeShields, Delino,592261,TEX,140,LF,24,R,0.00,0.54,0.82,1.06,1.29,1.50,1.70,1.89,2.07,2.25,2.42,2.58,2.75,2.91,3.08,3.23,3.39,3.55,3.72
Delmonico, Nicky,547170,CWS,145,LF,24,L,0.00,0.52,0.81,1.07,1.32,1.55,1.76,1.96,2.16,2.35,2.53,2.72,2.90,3.07,3.25,3.43,3.60,3.78,3.97
Descalso, Daniel,518614,AZ,109,2B,30,L,0.00,0.54,0.84,1.10,1.34,1.57,1.78,1.99,2.18,2.37,2.56,2.74,2.92,3.10,3.28,3.45,3.63,3.82,4.01
Desmond, Ian,435622,COL,115,LF,31,R,0.00,0.54,0.84,1.10,1.34,1.57,1.78,1.98,2.18,2.36,2.55,2.73,2.91,3.08,3.26,3.43,3.61,3.78,3.97
Devers, Rafael,646240,BOS,111,3B,20,L,0.00,0.54,0.83,1.10,1.34,1.57,1.78,1.98,2.18,2.36,2.55,2.73,2.91,3.08,3.26,3.43,3.61,3.79,3.98
