year,maxeff_arm_2b_3b_sba,exchange_2b_3b_sba,first_name,last_name,time_second_base,time_third_base
2019,80.8,0.72,Robinson,Chirinos,214.16978217821784,151.77229306930693
2019,81.2,0.74,Jason,Castro,213.11475862068966,151.0246463054187
2019,80.3,0.77,Danny,Jansen,215.50334246575343,152.71732602739726
2019,84.3,0.74,Michael,Perez,205.27779833926454,145.47095231316726
2019,79.6,0.71,Tucker,Barnhart,217.39847236180907,154.0603175879397
2019,89.0,0.77,Francisco,Mejía,194.43728539325843,137.7887784269663
2019,80.2,0.75,Chris,Iannetta,215.77204987531172,152.90774663341645
2019,81.1,0.79,Kurt,Suzuki,213.37753884093712,151.21086658446364
2019,83.4,0.74,Travis,d'Arnaud,207.49302637889684,147.04078273381293
2019,80.0,0.74,Cam,Gallagher,216.31148,153.290016
2019,79.0,0.75,Victor,Caratini,219.04959999999997,155.23039594936708
2019,80.1,0.69,Tim,Federowicz,216.0414282147316,153.0986426966292
2019,80.7,0.78,Jesús,Sucre,214.43517224287484,151.9603628252788
2019,79.2,0.75,Curt,Casali,218.49644444444445,154.83839999999998
2019,84.9,0.78,Tom,Murphy,203.8270718492344,144.4428890459364
2019,81.1,0.73,Max,Stassi,213.37753884093712,151.21086658446364
2019,77.2,0.78,Brian,McCann,224.15697409326424,158.84975751295335
2019,78.5,0.72,Yasmani,Grandal,220.44482038216563,156.21912458598726
2019,75.9,0.74,Tyler,Flowers,227.99628985507246,161.57050434782604
2019,79.1,0.78,Chance,Sisco,218.7726725663717,155.03415018963338
2019,77.1,0.72,Kevin,Plawecki,224.44770946822305,159.05578832684824
2019,79.2,0.74,Omar,Narváez,218.49644444444445,154.83839999999998
2019,76.5,0.77,Jeff,Mathis,226.20808366013074,160.30328470588233
2019,76.8,0.67,Austin,Barnes,225.32445833333333,159.6771
2019,73.4,0.7,Stephen,Vogt,235.7618310626703,167.0735869209809
2019,82.2,0.83,Austin,Romine,210.5221216545012,149.18736350364964
2019,79.3,0.78,Caleb,Joseph,218.2209129886507,154.64314350567466
2018,87.8,0.69,J.T.,Realmuto,197.09474259681096,139.67199635535306
2018,90.9,0.73,Jorge,Alfaro,190.37313971397137,134.90870495049504
2018,80.5,0.69,Kyle,Higashioka,214.96793043478263,152.3379040993789
2018,79.7,0.72,Willians,Astudillo,217.12570138017566,153.867017314931
2018,84.5,0.72,Meibrys,Viloria,204.79193372781066,145.1266423668639
2018,82.2,0.7,Tomás,Nido,210.5221216545012,149.18736350364964
2018,83.1,0.69,Austin,Hedges,208.24209867629364,147.57161588447653
2018,85.2,0.77,Michael,Perez,203.10937089201877,143.93428732394364
2018,83.9,0.67,Manny,Piña,206.2564767580453,146.16449678188317
2018,85.7,0.76,Blake,Swihart,201.92436872812135,143.09453068844806
2018,86.9,0.75,Gary,Sanchez,199.13599999999997,141.11854177215187
2018,79.3,0.64,Reese,McGuire,218.2209129886507,154.64314350567466
2018,85.4,0.78,Grayson,Greiner,202.63370491803275,143.59720468384072
2018,79.6,0.64,Carlos,Pérez,217.39847236180907,154.0603175879397
2018,82.3,0.71,Wilson,Ramos,210.26632320777645,149.00609088699878
2018,82.2,0.67,Sandy,Leon,210.5221216545012,149.18736350364964
2018,80.1,0.62,Welington,Castillo,216.0414282147316,153.0986426966292
2018,81.4,0.73,Chris,Herrmann,212.59113513513512,150.65357837837837
2018,81.3,0.66,Yan,Gomes,212.8526248462485,150.83888413284132
2018,86.3,0.75,Willson,Contreras,200.52049130938587,142.099667207416
2018,83.4,0.7,Roberto,Perez,207.49302637889684,147.04078273381293
2018,81.5,0.73,Alex,Avila,212.33028711656442,150.46872736196318
2018,81.6,0.72,René,Rivera,212.07007843137256,150.2843294117647
2018,82.2,0.69,Salvador,Perez,210.5221216545012,149.18736350364964
2018,82.7,0.75,Andrew,Knapp,209.24931559854898,148.285384280532
2018,87.6,0.77,Martín,Maldonado,197.54473059360734,139.9908821917808
2018,84.7,0.72,Elias,Díaz,204.30836363636365,144.7839584415584
2018,81.5,0.74,Raffy,Lopez,212.33028711656442,150.46872736196318
2018,85.7,0.75,Drew,Butera,201.92436872812135,143.09453068844806
2018,80.2,0.69,Spencer,Kieboom,215.77204987531172,152.90774663341645
2018,80.8,0.69,Jonathan,Lucroy,214.16978217821784,151.77229306930693
2018,79.8,0.72,Matt,Wieters,216.8536140350877,153.6742015037594
2018,81.9,0.73,Bryan,Holaday,211.29326495726494,149.73383736263736
2018,84.3,0.71,Pedro,Severino,205.27779833926454,145.47095231316726
2018,81.2,0.72,Mike,Zunino,213.11475862068966,151.0246463054187
2018,81.0,0.77,Jose,Lobaton,213.64096790123457,151.39754666666667
2018,80.0,0.7,Josh,Phegley,216.31148,153.290016
2018,80.3,0.74,Nick,Hundley,215.50334246575343,152.71732602739726
2018,78.5,0.65,Tony,Wolters,220.44482038216563,156.21912458598726
2018,82.6,0.73,Buster,Posey,209.5026440677966,148.46490653753028
2018,84.4,0.69,John,Hicks,205.03457819905213,145.29859336492888
2018,85.4,0.77,Tom,Murphy,202.63370491803275,143.59720468384072
2018,83.1,0.72,Kevan,Smith,208.24209867629364,147.57161588447653
2018,84.1,0.76,Erik,Kratz,205.76597384066588,145.81689988109392
2018,83.0,0.71,Luke,Maile,208.49299277108435,147.7494130120482
2018,79.5,0.7,Austin,Wynns,217.67192955974843,154.25410415094336
2018,81.2,0.69,José,Briceño,213.11475862068966,151.0246463054187
2018,84.2,0.81,Adam,Moore,205.52159619952496,145.6437206650831
2018,77.6,0.67,Isiah,Kiner-Falefa,223.0015257731959,158.0309443298969
2018,84.6,0.78,Jesús,Sucre,204.54986288416077,144.95509787234042
2018,79.9,0.73,Francisco,Cervelli,216.5822077596996,153.48186833541928
2018,78.0,0.69,A.J.,Ellis,221.8579282051282,157.22052923076924
2018,80.7,0.74,Yasmani,Grandal,214.43517224287484,151.9603628252788
2018,83.2,0.74,James,McCann,207.99180769230767,147.39424615384613
2018,79.8,0.73,Caleb,Joseph,216.8536140350877,153.6742015037594
2018,84.2,0.74,,,205.52159619952496,145.6437206650831
2018,79.3,0.7,Tucker,Barnhart,218.2209129886507,154.64314350567466
2018,82.2,0.76,Yadier,Molina,210.5221216545012,149.18736350364964
2018,79.5,0.77,Curt,Casali,217.67192955974843,154.25410415094336
2018,80.8,0.72,Omar,Narváez,214.16978217821784,151.77229306930693
2018,80.5,0.73,Bruce,Maxwell,214.96793043478263,152.3379040993789
2018,81.5,0.78,Mitch,Garver,212.33028711656442,150.46872736196318
